entry_id,employee_id,state,date_of_birth,age,pay_rate,vacation_accrued,sick_days,first_name,last_name
8,1206043417,MA,"1984-11-06 00:00:00",33,55.00,14,2,Sean,Quinn
29,1011022863,MA,"1986-10-05 00:00:00",31,63.00,0,3,Peter,Monroe
43,1411071506,MA,"1969-03-31 00:00:00",48,49.10,5,1,Jumil,Turpin
78,1403066194,MA,"1970-10-27 00:00:00",47,22.00,24,0,Courtney,Beatrice
169,1102024274,MA,"1984-10-15 00:00:00",33,19.00,18,3,Morissa,Power
191,1407069061,MA,"1968-08-15 00:00:00",49,14.00,2,0,Barbara,Sutwell
202,1101023839,MA,"1965-09-09 00:00:00",52,21.00,13,1,Barry,Wilber
215,1201031274,MA,"1979-09-14 00:00:00",38,25.00,25,2,Daniel,Davis
250,1103024843,MA,"1979-03-10 00:00:00",38,26.00,39,3,Shana,Petingill
251,1402065340,MA,"1981-09-05 00:00:00",36,26.00,1,0,May,Roberson
264,1504073368,VA,"1964-06-01 00:00:00",53,55.00,24,1,Jessica,Bunbury
278,1209048771,TX,"1970-06-11 00:00:00",47,56.00,1,0,Joseph,Martins
