entry_id,employee_id,state,date_of_birth,age,pay_rate,vacation_accrued,sick_days,first_name,last_name
7,1102024115,MA,"1984-06-10 00:00:00",33,55.00,27,3,"Brandon  R",LeBlanc
8,1206043417,MA,"1984-11-06 00:00:00",33,55.00,14,2,Sean,Quinn
9,1307060188,MA,"1987-04-04 00:00:00",30,34.95,12,2,Bonalyn,Boutwell
10,1201031308,MA,"1979-04-16 00:00:00",38,34.95,23,3,Amy,Foster-Baker
11,1001495124,MA,"1954-09-21 00:00:00",63,80.00,40,0,Janet,King
12,1112030816,MA,"1979-08-30 00:00:00",38,65.00,13,0,Jennifer,Zamora
13,1102024056,MA,"1986-04-04 00:00:00",31,43.00,22,3,Renee,Becker
14,905013738,MA,"1971-10-23 00:00:00",46,48.50,10,3,Taisha,Goble
15,1410071156,MA,"1986-08-07 00:00:00",31,40.10,19,2,Daniff,Hernandez
16,1105025718,MA,"1984-02-21 00:00:00",33,34.00,8,2,Jayne,Horton
