entry_id,employee_id,state,date_of_birth,age,pay_rate,vacation_accrued,sick_days,first_name,last_name
1,1103024456,MA,"1985-11-24 00:00:00",32,28.50,29,0,Mia,Brown
2,1106026572,MA,"1984-04-26 00:00:00",33,23.00,22,0,William,LaRotonda
3,1302053333,MA,"1986-09-01 00:00:00",31,29.00,20,0,Tyrone,Steans
4,1211050782,MA,"1985-09-16 00:00:00",32,21.50,0,2,Estelle,Howard
5,1307059817,MA,"1988-05-19 00:00:00",29,16.56,38,0,Nan,Singh
6,711007713,MA,"1987-06-14 00:00:00",30,20.50,39,2,"Leigh Ann",Smith
7,1102024115,MA,"1984-06-10 00:00:00",33,55.00,27,3,"Brandon  R",LeBlanc
8,1206043417,MA,"1984-11-06 00:00:00",33,55.00,14,2,Sean,Quinn
9,1307060188,MA,"1987-04-04 00:00:00",30,34.95,12,2,Bonalyn,Boutwell
10,1201031308,MA,"1979-04-16 00:00:00",38,34.95,23,3,Amy,Foster-Baker
